Machines > Drill Press > MIB > X-Horizontal > Peak Acceleration,,,Machines > Drill Press > MIB > X-Horizontal > Peak Velocity,,,Machines > Drill Press > MIB > Y-Radial > Band 1,,,Machines > Drill Press > MIB > Y-Radial > Damage Accumulation,,,Machines > Drill Press > MIB > Y-Radial > Peak Acceleration,,,Machines > Drill Press > MIB > Y-Radial > Peak Velocity,,,Machines > Drill Press > MIB > X-Horizontal > Band 1,,,Machines > Drill Press > MIB > X-Horizontal > Damage Accumulation,,,Machines > Drill Press > MIB > Y-Radial > RMS Velocity,,,Machines > Drill Press > MIB > Y-Radial > Temperature,,,Machines > Drill Press > MIB > X-Horizontal > RMS Velocity,,,Machines > Drill Press > MIB > X-Horizontal > Temperature,,,Machines > Drill Press > MIB > Battery Voltage,
2/15/20 06:38,0.0386619,,2/15/20 06:38,0.0206193,,2/15/20 06:38,0.0026659,,2/15/20 06:38,0.3577953,,2/15/20 06:38,0.0354881,,2/15/20 06:38,0.0111286,,2/15/20 06:38,0.0028963,,2/15/20 06:38,0.3723387,,2/15/20 06:38,0.0041092,,2/15/20 06:38,65.79174461,,2/15/20 06:38,0.0056438,,2/15/20 06:38,65.79174461,,2/15/20 06:38,3.244151354
2/15/20 06:48,0.0338479,,2/15/20 06:48,0.0151983,,2/15/20 06:48,0.0039783,,2/15/20 06:48,0.3686821,,2/15/20 06:48,0.0291304,,2/15/20 06:48,0.0145046,,2/15/20 06:48,0.0036926,,2/15/20 06:48,0.3696673,,2/15/20 06:48,0.0040136,,2/15/20 06:48,65.51960297,,2/15/20 06:48,0.0047395,,2/15/20 06:48,65.51960297,,2/15/20 06:48,3.244151354
2/15/20 06:59,0.033087,,2/15/20 06:59,0.0141451,,2/15/20 06:59,0.0034439,,2/15/20 06:59,0.3694365,,2/15/20 06:59,0.0288319,,2/15/20 06:59,0.0126856,,2/15/20 06:59,0.0039719,,2/15/20 06:59,0.3702205,,2/15/20 06:59,0.004542,,2/15/20 06:59,65.85980835,,2/15/20 06:59,0.0046891,,2/15/20 06:59,65.85980835,,2/15/20 06:59,3.244249105
2/15/20 07:09,0.0357028,,2/15/20 07:09,0.013701,,2/15/20 07:09,0.0053474,,2/15/20 07:09,0.3704104,,2/15/20 07:09,0.029168,,2/15/20 07:09,0.0154866,,2/15/20 07:09,0.0031977,,2/15/20 07:09,0.3666977,,2/15/20 07:09,0.0047122,,2/15/20 07:09,65.55361595,,2/15/20 07:09,0.0045855,,2/15/20 07:09,65.55361595,,2/15/20 07:09,3.244542122
2/15/20 07:19,0.039193,,2/15/20 07:19,0.0128717,,2/15/20 07:19,0.0025417,,2/15/20 07:19,0.35188,,2/15/20 07:19,0.0298866,,2/15/20 07:19,0.0120622,,2/15/20 07:19,0.0037182,,2/15/20 07:19,0.3784461,,2/15/20 07:19,0.0035139,,2/15/20 07:20,65.55361595,,2/15/20 07:19,0.0043039,,2/15/20 07:20,65.55361595,,2/15/20 07:20,3.244346619
2/15/20 07:29,0.0342153,,2/15/20 07:29,0.0168344,,2/15/20 07:29,0.0027582,,2/15/20 07:29,0.3599835,,2/15/20 07:29,0.0358015,,2/15/20 07:29,0.013144,,2/15/20 07:29,0.0041623,,2/15/20 07:29,0.3566143,,2/15/20 07:29,0.003586,,2/15/20 07:30,65.8257576,,2/15/20 07:29,0.0048927,,2/15/20 07:30,65.8257576,,2/15/20 07:30,3.243369818
2/15/20 07:39,0.0318562,,2/15/20 07:39,0.0168536,,2/15/20 07:39,0.0039127,,2/15/20 07:39,0.3677443,,2/15/20 07:39,0.031708,,2/15/20 07:39,0.0137277,,2/15/20 07:39,0.003394,,2/15/20 07:39,0.3671071,,2/15/20 07:39,0.0047643,,2/15/20 07:39,65.72372208,,2/15/20 07:39,0.0049555,,2/15/20 07:39,65.72372208,,2/15/20 07:39,3.243369818
2/15/20 07:48,0.0368044,,2/15/20 07:48,0.0138409,,2/15/20 07:48,0.0024521,,2/15/20 07:48,0.3490185,,2/15/20 07:48,0.0334335,,2/15/20 07:48,0.0132132,,2/15/20 07:48,0.0030337,,2/15/20 07:48,0.3521341,,2/15/20 07:48,0.0044425,,2/15/20 07:49,65.55361595,,2/15/20 07:48,0.0045247,,2/15/20 07:49,65.55361595,,2/15/20 07:49,3.243467569
2/15/20 07:58,0.0409042,,2/15/20 07:58,0.0147703,,2/15/20 07:58,0.0028615,,2/15/20 07:58,0.3679968,,2/15/20 07:58,0.0297839,,2/15/20 07:58,0.013101,,2/15/20 07:58,0.0033958,,2/15/20 07:58,0.3596545,,2/15/20 07:58,0.0040647,,2/15/20 07:59,65.68970566,,2/15/20 07:58,0.0044862,,2/15/20 07:59,65.68970566,,2/15/20 07:59,3.24307704
2/15/20 08:09,0.0292971,,2/15/20 08:09,0.0160878,,2/15/20 08:09,0.0036283,,2/15/20 08:09,0.3557784,,2/15/20 08:09,0.0311833,,2/15/20 08:09,0.0152929,,2/15/20 08:09,0.0030197,,2/15/20 08:09,0.3627272,,2/15/20 08:09,0.0048473,,2/15/20 08:10,65.51960297,,2/15/20 08:09,0.0051194,,2/15/20 08:10,65.51960297,,2/15/20 08:10,3.243369818
2/15/20 08:19,0.0318768,,2/15/20 08:19,0.015645,,2/15/20 08:19,0.0040679,,2/15/20 08:19,0.359211,,2/15/20 08:19,0.0329744,,2/15/20 08:19,0.0134687,,2/15/20 08:19,0.0039845,,2/15/20 08:19,0.3685472,,2/15/20 08:19,0.0044365,,2/15/20 08:20,65.55361595,,2/15/20 08:19,0.0046786,,2/15/20 08:20,65.55361595,,2/15/20 08:20,3.242490768
2/15/20 08:29,0.0331596,,2/15/20 08:29,0.0148084,,2/15/20 08:29,0.0021988,,2/15/20 08:29,0.3741736,,2/15/20 08:29,0.0303945,,2/15/20 08:29,0.0125536,,2/15/20 08:29,0.0068159,,2/15/20 08:29,0.3644331,,2/15/20 08:29,0.0035238,,2/15/20 08:30,65.85980835,,2/15/20 08:29,0.0048706,,2/15/20 08:30,65.85980835,,2/15/20 08:30,3.24258852
2/15/20 08:39,0.03272,,2/15/20 08:39,0.0182266,,2/15/20 08:39,0.0060548,,2/15/20 08:39,0.3532326,,2/15/20 08:39,0.0315575,,2/15/20 08:39,0.0155643,,2/15/20 08:39,0.0029413,,2/15/20 08:39,0.3697622,,2/15/20 08:39,0.0050087,,2/15/20 08:39,65.34950027,,2/15/20 08:39,0.0046901,,2/15/20 08:39,65.34950027,,2/15/20 08:39,3.242295504
2/15/20 08:49,0.0310106,,2/15/20 08:49,0.0147588,,2/15/20 08:49,0.0024462,,2/15/20 08:49,0.3631335,,2/15/20 08:49,0.0294499,,2/15/20 08:49,0.0123492,,2/15/20 08:49,0.002227,,2/15/20 08:49,0.3499428,,2/15/20 08:49,0.0042786,,2/15/20 08:49,65.41752625,,2/15/20 08:49,0.0045497,,2/15/20 08:49,65.41752625,,2/15/20 08:49,3.242100239
2/15/20 08:58,0.0345812,,2/15/20 08:58,0.0159367,,2/15/20 08:58,0.0041041,,2/15/20 08:58,0.3595567,,2/15/20 08:58,0.0299724,,2/15/20 08:58,0.0134346,,2/15/20 08:58,0.0042565,,2/15/20 08:58,0.3619733,,2/15/20 08:58,0.0043973,,2/15/20 08:59,65.72372208,,2/15/20 08:58,0.0052476,,2/15/20 08:59,65.72372208,,2/15/20 08:59,3.242393017
2/15/20 09:08,0.0330819,,2/15/20 09:08,0.0159051,,2/15/20 09:08,0.0047832,,2/15/20 09:08,0.374378,,2/15/20 09:08,0.0313198,,2/15/20 09:08,0.012925,,2/15/20 09:08,0.0046987,,2/15/20 09:08,0.3642568,,2/15/20 09:08,0.0043742,,2/15/20 09:09,65.8257576,,2/15/20 09:08,0.0048124,,2/15/20 09:09,65.8257576,,2/15/20 09:09,3.242197752
2/15/20 09:19,0.037564,,2/15/20 09:19,0.012225,,2/15/20 09:19,0.003355,,2/15/20 09:19,0.3495746,,2/15/20 09:19,0.0294034,,2/15/20 09:19,0.0150039,,2/15/20 09:19,0.003445,,2/15/20 09:19,0.3513259,,2/15/20 09:19,0.0047563,,2/15/20 09:20,65.62163849,,2/15/20 09:19,0.0043895,,2/15/20 09:20,65.62163849,,2/15/20 09:20,3.241807222
2/15/20 09:29,0.0291983,,2/15/20 09:29,0.0132048,,2/15/20 09:29,0.0023286,,2/15/20 09:29,0.3684927,,2/15/20 09:29,0.0304541,,2/15/20 09:29,0.0132555,,2/15/20 09:29,0.0034258,,2/15/20 09:29,0.3823106,,2/15/20 09:29,0.0040042,,2/15/20 09:30,66.13195,,2/15/20 09:29,0.0042549,,2/15/20 09:30,66.13195,,2/15/20 09:30,3.241220951
2/15/20 09:39,0.0362333,,2/15/20 09:39,0.0121917,,2/15/20 09:39,0.0053742,,2/15/20 09:39,0.3739963,,2/15/20 09:39,0.0266304,,2/15/20 09:39,0.014718,,2/15/20 09:39,0.0038679,,2/15/20 09:39,0.3611867,,2/15/20 09:39,0.0047479,,2/15/20 09:39,65.68970566,,2/15/20 09:39,0.0039712,,2/15/20 09:39,65.68970566,,2/15/20 09:39,3.241513968
2/15/20 09:49,0.0319278,,2/15/20 09:49,0.0170788,,2/15/20 09:49,0.0038936,,2/15/20 09:49,0.350855,,2/15/20 09:49,0.0303928,,2/15/20 09:49,0.011024,,2/15/20 09:49,0.0048615,,2/15/20 09:49,0.3469216,,2/15/20 09:49,0.0038343,,2/15/20 09:49,65.55361595,,2/15/20 09:49,0.0053922,,2/15/20 09:49,65.55361595,,2/15/20 09:49,3.241318703
2/15/20 09:59,0.0301235,,2/15/20 09:59,0.0133299,,2/15/20 09:59,0.005127,,2/15/20 09:59,0.3582732,,2/15/20 09:59,0.0345125,,2/15/20 09:59,0.0164174,,2/15/20 09:59,0.003335,,2/15/20 09:59,0.3633944,,2/15/20 09:59,0.0052953,,2/15/20 09:59,65.79174461,,2/15/20 09:59,0.0043901,,2/15/20 09:59,65.79174461,,2/15/20 09:59,3.241123438
2/15/20 10:08,0.0345454,,2/15/20 10:08,0.0166907,,2/15/20 10:08,0.0028974,,2/15/20 10:08,0.3703834,,2/15/20 10:08,0.0339427,,2/15/20 10:08,0.0131837,,2/15/20 10:08,0.003348,,2/15/20 10:08,0.3845644,,2/15/20 10:08,0.0047374,,2/15/20 10:09,65.21341057,,2/15/20 10:08,0.0048985,,2/15/20 10:09,65.21341057,,2/15/20 10:09,3.240439415
2/15/20 10:18,0.0311862,,2/15/20 10:18,0.0149028,,2/15/20 10:18,0.0025527,,2/15/20 10:18,0.359199,,2/15/20 10:18,0.0323056,,2/15/20 10:18,0.0145278,,2/15/20 10:18,0.0044173,,2/15/20 10:18,0.3497854,,2/15/20 10:18,0.0042314,,2/15/20 10:19,65.65565491,,2/15/20 10:18,0.005259,,2/15/20 10:19,65.65565491,,2/15/20 10:19,3.24073267
2/15/20 10:28,0.0311691,,2/15/20 10:28,0.0132633,,2/15/20 10:28,0.0033792,,2/15/20 10:28,0.3865362,,2/15/20 10:28,0.0386556,,2/15/20 10:28,0.0144815,,2/15/20 10:28,0.0056736,,2/15/20 10:28,0.3641619,,2/15/20 10:28,0.0043518,,2/15/20 10:29,65.48555222,,2/15/20 10:28,0.0051419,,2/15/20 10:29,65.48555222,,2/15/20 10:29,3.240634918
2/15/20 10:39,0.0384884,,2/15/20 10:39,0.017568,,2/15/20 10:39,0.0038263,,2/15/20 10:39,0.3521655,,2/15/20 10:39,0.0417242,,2/15/20 10:39,0.0135225,,2/15/20 10:39,0.0034327,,2/15/20 10:39,0.3642053,,2/15/20 10:39,0.0045733,,2/15/20 10:39,65.75773163,,2/15/20 10:39,0.0048511,,2/15/20 10:39,65.75773163,,2/15/20 10:39,3.241318703
2/15/20 10:49,0.0334535,,2/15/20 10:49,0.0144873,,2/15/20 10:49,0.0042235,,2/15/20 10:49,0.363386,,2/15/20 10:49,0.032701,,2/15/20 10:49,0.0133175,,2/15/20 10:49,0.003652,,2/15/20 10:49,0.3643654,,2/15/20 10:49,0.0046413,,2/15/20 10:49,65.79174461,,2/15/20 10:49,0.004661,,2/15/20 10:49,65.79174461,,2/15/20 10:49,3.240927935
2/15/20 10:59,0.0303417,,2/15/20 10:59,0.0178105,,2/15/20 10:59,0.0035413,,2/15/20 10:59,0.3759169,,2/15/20 10:59,0.0293678,,2/15/20 10:59,0.0146162,,2/15/20 10:59,0.0056515,,2/15/20 10:59,0.3536962,,2/15/20 10:59,0.0041485,,2/15/20 10:59,65.51960297,,2/15/20 10:59,0.0058706,,2/15/20 10:59,65.51960297,,2/15/20 10:59,3.240634918
2/15/20 11:09,0.0308264,,2/15/20 11:09,0.0138969,,2/15/20 11:09,0.0030068,,2/15/20 11:09,0.383768,,2/15/20 11:09,0.0320319,,2/15/20 11:09,0.0112747,,2/15/20 11:09,0.0040951,,2/15/20 11:09,0.374972,,2/15/20 11:09,0.0043144,,2/15/20 11:09,65.41752625,,2/15/20 11:09,0.0045261,,2/15/20 11:09,65.41752625,,2/15/20 11:09,3.240537167
2/15/20 11:18,0.0353565,,2/15/20 11:18,0.0161456,,2/15/20 11:18,0.0037317,,2/15/20 11:18,0.3660761,,2/15/20 11:18,0.0287588,,2/15/20 11:18,0.0163297,,2/15/20 11:18,0.0038379,,2/15/20 11:18,0.3803336,,2/15/20 11:18,0.0044921,,2/15/20 11:19,65.58762894,,2/15/20 11:18,0.0049741,,2/15/20 11:19,65.58762894,,2/15/20 11:19,3.240341902
2/15/20 11:28,0.0323971,,2/15/20 11:28,0.0122473,,2/15/20 11:28,0.0037678,,2/15/20 11:28,0.3695357,,2/15/20 11:28,0.0279158,,2/15/20 11:28,0.0179006,,2/15/20 11:28,0.0045769,,2/15/20 11:28,0.3765558,,2/15/20 11:28,0.0046651,,2/15/20 11:29,65.68970566,,2/15/20 11:28,0.0045182,,2/15/20 11:29,65.68970566,,2/15/20 11:29,3.239951134
2/15/20 11:38,0.0333934,,2/15/20 11:38,0.0127128,,2/15/20 11:38,0.0035086,,2/15/20 11:38,0.3668276,,2/15/20 11:38,0.0324787,,2/15/20 11:38,0.0123864,,2/15/20 11:38,0.0031151,,2/15/20 11:38,0.3655721,,2/15/20 11:38,0.0043526,,2/15/20 11:38,65.79174461,,2/15/20 11:38,0.0044233,,2/15/20 11:38,65.79174461,,2/15/20 11:38,3.240146637
2/15/20 11:49,0.0388969,,2/15/20 11:49,0.0170927,,2/15/20 11:49,0.0032472,,2/15/20 11:49,0.3598963,,2/15/20 11:49,0.0248415,,2/15/20 11:49,0.0141656,,2/15/20 11:49,0.0031908,,2/15/20 11:49,0.3638906,,2/15/20 11:49,0.0045356,,2/15/20 11:49,65.8257576,,2/15/20 11:49,0.0048819,,2/15/20 11:49,65.8257576,,2/15/20 11:49,3.239658117
2/15/20 11:59,0.0362167,,2/15/20 11:59,0.0128379,,2/15/20 11:59,0.00374,,2/15/20 11:59,0.353981,,2/15/20 11:59,0.0275243,,2/15/20 11:59,0.0116448,,2/15/20 11:59,0.0038806,,2/15/20 11:59,0.3560746,,2/15/20 11:59,0.0036344,,2/15/20 11:59,65.51960297,,2/15/20 11:59,0.0043743,,2/15/20 11:59,65.51960297,,2/15/20 11:59,3.239658117
2/15/20 12:09,0.0364798,,2/15/20 12:09,0.0147287,,2/15/20 12:09,0.0037186,,2/15/20 12:09,0.3593943,,2/15/20 12:09,0.0300135,,2/15/20 12:09,0.0141919,,2/15/20 12:09,0.0042988,,2/15/20 12:09,0.3717772,,2/15/20 12:09,0.004499,,2/15/20 12:09,65.65565491,,2/15/20 12:09,0.004667,,2/15/20 12:09,65.65565491,,2/15/20 12:09,3.239658117
2/15/20 12:19,0.033344,,2/15/20 12:19,0.011141,,2/15/20 12:19,0.002636,,2/15/20 12:19,0.3546663,,2/15/20 12:19,0.0314699,,2/15/20 12:19,0.0145488,,2/15/20 12:19,0.0030558,,2/15/20 12:19,0.3627407,,2/15/20 12:19,0.0040067,,2/15/20 12:19,65.68970566,,2/15/20 12:19,0.004279,,2/15/20 12:19,65.68970566,,2/15/20 12:19,3.239267349
2/15/20 12:29,0.0313822,,2/15/20 12:29,0.0178254,,2/15/20 12:29,0.0043268,,2/15/20 12:29,0.3530011,,2/15/20 12:29,0.0278508,,2/15/20 12:29,0.0131787,,2/15/20 12:29,0.0046985,,2/15/20 12:29,0.3646662,,2/15/20 12:29,0.0044405,,2/15/20 12:29,65.65565491,,2/15/20 12:29,0.0051006,,2/15/20 12:29,65.65565491,,2/15/20 12:29,3.239267349
2/15/20 12:38,0.0325671,,2/15/20 12:38,0.0128572,,2/15/20 12:38,0.0037679,,2/15/20 12:38,0.3511826,,2/15/20 12:38,0.0282209,,2/15/20 12:38,0.0147706,,2/15/20 12:38,0.0024593,,2/15/20 12:38,0.3688347,,2/15/20 12:38,0.0052228,,2/15/20 12:39,65.4515358,,2/15/20 12:38,0.0037879,,2/15/20 12:39,65.4515358,,2/15/20 12:39,3.238583565
2/15/20 12:48,0.0306023,,2/15/20 12:48,0.0139716,,2/15/20 12:48,0.0038355,,2/15/20 12:48,0.3598723,,2/15/20 12:48,0.0291307,,2/15/20 12:48,0.0145208,,2/15/20 12:48,0.0046367,,2/15/20 12:48,0.3477514,,2/15/20 12:48,0.0045567,,2/15/20 12:49,65.1453434,,2/15/20 12:48,0.0054116,,2/15/20 12:49,65.1453434,,2/15/20 12:49,3.239365101
2/15/20 12:59,0.0327067,,2/15/20 12:59,0.0149782,,,,,,,,,,,,,,2/15/20 12:59,0.0034113,,2/15/20 12:59,0.3486356,,,,,2/15/20 13:00,65.96184731,,2/15/20 12:59,0.0044935,,2/15/20 13:00,65.96184731,,2/15/20 13:00,3.239365101
2/15/20 13:09,0.0349607,,2/15/20 13:09,0.0110082,,2/15/20 13:09,0.0029589,,2/15/20 13:09,0.3804977,,2/15/20 13:09,0.0285999,,2/15/20 13:09,0.0146907,,2/15/20 13:09,0.0025578,,2/15/20 13:09,0.3711751,,2/15/20 13:09,0.0040568,,2/15/20 13:10,66.02991104,,2/15/20 13:09,0.0045405,,2/15/20 13:10,66.02991104,,2/15/20 13:10,3.238779068
2/15/20 13:19,0.0354472,,2/15/20 13:19,0.0164419,,2/15/20 13:19,0.0023392,,2/15/20 13:19,0.3756134,,2/15/20 13:19,0.0363335,,2/15/20 13:19,0.0139101,,2/15/20 13:19,0.0062217,,2/15/20 13:19,0.340372,,2/15/20 13:19,0.0045459,,2/15/20 13:20,65.79174461,,2/15/20 13:19,0.0052055,,2/15/20 13:20,65.79174461,,2/15/20 13:20,3.238485813
2/15/20 13:29,0.0434852,,2/15/20 13:29,0.0145968,,2/15/20 13:29,0.0046426,,2/15/20 13:29,0.3684988,,2/15/20 13:29,0.0294914,,2/15/20 13:29,0.0148318,,2/15/20 13:29,0.0049799,,2/15/20 13:29,0.3740797,,2/15/20 13:29,0.0045445,,2/15/20 13:30,65.85980835,,2/15/20 13:29,0.0050079,,2/15/20 13:30,65.85980835,,2/15/20 13:30,3.238290548
2/15/20 13:39,0.032347,,2/15/20 13:39,0.0181768,,2/15/20 13:39,0.0022812,,2/15/20 13:39,0.3624362,,2/15/20 13:39,0.0359786,,2/15/20 13:39,0.017097,,2/15/20 13:39,0.0032205,,2/15/20 13:39,0.3683248,,2/15/20 13:39,0.0045621,,2/15/20 13:39,65.51960297,,2/15/20 13:39,0.0055428,,2/15/20 13:39,65.51960297,,2/15/20 13:39,3.2383883
2/15/20 13:48,0.035671,,2/15/20 13:48,0.0163594,,2/15/20 13:48,0.0033992,,2/15/20 13:48,0.3690157,,2/15/20 13:48,0.0352083,,2/15/20 13:48,0.0187272,,2/15/20 13:48,0.004267,,2/15/20 13:48,0.3596192,,2/15/20 13:48,0.0044918,,2/15/20 13:49,65.79174461,,2/15/20 13:48,0.0051502,,2/15/20 13:49,65.79174461,,2/15/20 13:49,3.237802267
2/15/20 13:58,0.0416937,,2/15/20 13:58,0.0170433,,2/15/20 13:58,0.0037823,,2/15/20 13:58,0.3700647,,2/15/20 13:58,0.0356046,,2/15/20 13:58,0.0142676,,2/15/20 13:58,0.0039724,,2/15/20 13:58,0.3719941,,2/15/20 13:58,0.0042018,,2/15/20 13:59,65.79174461,,2/15/20 13:58,0.004909,,2/15/20 13:59,65.79174461,,2/15/20 13:59,3.237997532
2/15/20 14:09,0.0304317,,2/15/20 14:09,0.0179061,,2/15/20 14:09,0.0052141,,2/15/20 14:09,0.3594935,,2/15/20 14:09,0.0309804,,2/15/20 14:09,0.0159376,,2/15/20 14:09,0.0024218,,2/15/20 14:09,0.3648073,,2/15/20 14:09,0.0047929,,2/15/20 14:10,66.09793701,,2/15/20 14:09,0.0042518,,2/15/20 14:10,66.09793701,,2/15/20 14:10,3.237997532
2/15/20 14:19,0.0331196,,2/15/20 14:19,0.0136067,,2/15/20 14:19,0.0027352,,2/15/20 14:19,0.3577923,,2/15/20 14:19,0.0342798,,2/15/20 14:19,0.0150977,,2/15/20 14:19,0.0031047,,2/15/20 14:19,0.3549655,,2/15/20 14:19,0.0043349,,2/15/20 14:20,65.75773163,,2/15/20 14:19,0.0043525,,2/15/20 14:20,65.75773163,,2/15/20 14:20,3.237704515
2/15/20 14:29,0.0325381,,2/15/20 14:29,0.0184395,,2/15/20 14:29,0.0024274,,2/15/20 14:29,0.3636805,,2/15/20 14:29,0.0306623,,2/15/20 14:29,0.0128065,,2/15/20 14:29,0.0022946,,2/15/20 14:29,0.3721677,,2/15/20 14:29,0.0043893,,2/15/20 14:30,66.06392746,,2/15/20 14:29,0.0053346,,2/15/20 14:30,66.06392746,,2/15/20 14:30,3.237606764
2/15/20 14:39,0.0356234,,2/15/20 14:39,0.0159047,,2/15/20 14:39,0.0048426,,2/15/20 14:39,0.3584175,,2/15/20 14:39,0.0311194,,2/15/20 14:39,0.0133389,,2/15/20 14:39,0.0036086,,2/15/20 14:39,0.360959,,2/15/20 14:39,0.0047601,,2/15/20 14:39,65.99586029,,2/15/20 14:39,0.0051683,,2/15/20 14:39,65.99586029,,2/15/20 14:39,3.237509012
2/15/20 14:49,0.0314401,,2/15/20 14:49,0.0137242,,2/15/20 14:49,0.0055004,,2/15/20 14:49,0.3634491,,2/15/20 14:49,0.032171,,2/15/20 14:49,0.0141686,,2/15/20 14:49,0.0056575,,2/15/20 14:49,0.3430406,,2/15/20 14:49,0.0041023,,2/15/20 14:49,65.79174461,,2/15/20 14:49,0.0044822,,2/15/20 14:49,65.79174461,,2/15/20 14:49,3.236825466
